param,value,score,win,w1,w2,w3,w4,w5,w6,w7,w8,GAP
w1,6.2,556.0,True,6.2,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,6.300000000000001,545.0,True,6.300000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,6.4,532.0,True,6.4,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,6.5,558.0,True,6.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,6.6000000000000005,549.0,True,6.6000000000000005,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,6.7,564.0,True,6.7,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,6.800000000000001,560.0,True,6.800000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,6.9,547.0,True,6.9,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,7.0,558.0,True,7.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,7.1000000000000005,556.0,True,7.1000000000000005,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,7.2,563.0,True,7.2,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,7.300000000000001,557.0,True,7.300000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,7.4,552.0,True,7.4,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,7.5,562.0,True,7.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,7.6000000000000005,551.0,True,7.6000000000000005,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,7.7,556.0,True,7.7,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,7.800000000000001,550.0,True,7.800000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,7.9,561.0,True,7.9,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,8.0,557.0,True,8.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,8.1,537.0,True,8.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,8.200000000000001,554.0,True,8.200000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,8.3,493.0,True,8.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,8.4,561.0,True,8.4,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,8.5,564.0,True,8.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,8.6,530.0,True,8.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,8.700000000000001,557.0,True,8.700000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,8.8,564.0,True,8.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,8.9,560.0,True,8.9,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,9.0,539.0,True,9.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,9.1,560.0,True,9.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,9.200000000000001,553.0,True,9.200000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,9.3,564.0,True,9.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,9.4,563.0,True,9.4,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,9.5,564.0,True,9.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,9.600000000000001,560.0,True,9.600000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,9.700000000000001,544.0,True,9.700000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,9.8,551.0,True,9.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,9.9,518.0,True,9.9,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,10.0,562.0,True,10.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,10.100000000000001,554.0,True,10.100000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,10.200000000000001,554.0,True,10.200000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,10.3,564.0,True,10.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,10.4,559.0,True,10.4,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,10.5,552.0,True,10.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,10.600000000000001,540.0,True,10.600000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,10.700000000000001,564.0,True,10.700000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,10.8,561.0,True,10.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,10.9,557.0,True,10.9,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,11.0,545.0,True,11.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,11.100000000000001,557.0,True,11.100000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,11.200000000000001,556.0,True,11.200000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,11.3,560.0,True,11.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,11.4,549.0,True,11.4,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,11.5,555.0,True,11.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,11.600000000000001,545.0,True,11.600000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,11.700000000000001,564.0,True,11.700000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,11.8,541.0,True,11.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,11.9,558.0,True,11.9,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,12.0,561.0,True,12.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,12.100000000000001,559.0,True,12.100000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,12.200000000000001,553.0,True,12.200000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,12.3,564.0,True,12.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,12.4,544.0,True,12.4,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,12.5,562.0,True,12.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,12.600000000000001,561.0,True,12.600000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,12.700000000000001,549.0,True,12.700000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,12.8,564.0,True,12.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,12.9,558.0,True,12.9,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,13.0,564.0,True,13.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,13.100000000000001,557.0,True,13.100000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,13.200000000000001,542.0,True,13.200000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,13.3,552.0,True,13.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,13.4,542.0,True,13.4,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,13.5,552.0,True,13.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,13.600000000000001,551.0,True,13.600000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,13.700000000000001,539.0,True,13.700000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,13.8,522.0,True,13.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,13.9,555.0,True,13.9,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,14.0,547.0,True,14.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,14.100000000000001,561.0,True,14.100000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,14.200000000000001,548.0,True,14.200000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
