trial,score,win,w1,w2,w3,w4,w5,w6,w7,w8,GAP
1,503.0,True,3.149965532246013,0.4453061330698776,0.43815098047237844,3.9020825041403686,1.323425972009561,51.48489956916963,3.0513028398331925,0.1674904845594105,3
2,-502.0,False,4.969762832344667,0.28936776181811663,1.7478832804684086,3.515275955493051,3.0180864573118074,8.431943695695276,0.16211719683364323,1.6658594373820321,4
3,505.0,True,3.2742666331393226,0.318219183851762,1.8368510186809646,4.3378426461785216,3.9651787246884513,182.02757034396345,1.8901362290722856,0.9683524223764168,3
4,554.0,True,3.7732348230413946,0.09165249175403078,1.1531342928899053,0.2130267828394844,3.0627893800843227,20.960168680678237,2.7801970164035463,1.3813660093160378,3
5,456.0,True,1.2364785398540745,0.031681643702929585,1.6610730630292352,2.4640502680061624,0.2776341301403623,485.8499140783433,2.8309111206200366,1.6333578755609572,3
6,-486.0,False,4.09435436063184,0.3154187482261249,0.9227523731233176,4.431212722827335,4.013100369412422,277.1491959132191,4.727834817228488,0.044031576341051926,1
7,556.0,True,0.5876717148621435,0.14188803711411913,0.48711225669052105,0.39701261270265076,2.642138590056036,389.3300276705908,3.9679424116320323,0.9358782389746718,4
8,475.0,True,2.5121703962755495,0.441361731838778,1.368060679287773,1.7576074919232276,4.695360068004647,242.50799454958087,1.2070348532340547,0.7055589411661496,3
9,-492.0,False,0.6306018731741392,0.08323358900248273,0.6792707555115745,0.15460368125166934,4.957078691886959,218.09910507089086,0.8335648239201177,0.04035523613043335,4
10,-478.0,False,1.3481233125175969,0.36215062422427924,0.05653777459969356,2.656876387292424,2.7097745199338217,491.6718683728085,0.060491561271615035,0.4012684679763665,1
11,548.0,True,4.989689143375617,0.267168411914283,1.743089658528754,0.02291682397533079,2.686837667362247,142.59097119684716,3.2561404930578917,1.4526738775173689,2
12,542.0,True,3.5189952045704285,0.0028358938942141254,0.8914561248980162,2.999445018225459,1.9016511135850356,130.38903466923924,0.2794184250276732,1.0851037816155202,3
13,560.0,True,3.442042184417043,0.479761961176363,0.8487526650495409,2.880516854842897,3.0680324403215034,14.484313999937548,3.702519351893373,0.12326619622479518,2
14,550.0,True,1.832607803440166,0.2866374923743206,1.0030790270603571,4.322404019714411,0.640701863006653,406.37244333647703,0.13417868488812323,0.6219219841712134,3
15,535.0,True,4.107152419032223,0.16658484468784823,0.9830853405885767,4.3004529173150905,3.938341711317848,143.04930823516256,2.6650525335383524,1.260242569374798,3
16,548.0,True,4.935319950448217,0.2872938097508023,0.4677687668104462,1.9108791124357083,0.3223478456676082,34.41615603358639,4.972714801876012,0.10455286189819857,4
17,484.0,True,1.4813408838889974,0.4286141021135221,0.8503669171253778,0.44809966698211523,4.980737077833429,298.72600585063867,3.5368353077810823,1.6444790440255843,3
18,562.0,True,0.3392143301659323,0.27424273498836904,1.146604251420884,0.1831438079359432,2.695889947868584,460.6348180818515,1.242094121134254,1.7977199142776037,2
19,562.0,True,3.0864570676410152,0.04978382033087636,1.4382964656061954,1.9697799195962673,3.4497581547514446,150.17647652607297,3.9716567434114607,0.3395143644771399,2
20,-524.0,False,3.56119784716852,0.27686862381767446,0.9441097806078322,4.1788520830105655,2.598094649655266,361.87330679075313,0.5641757653502377,1.3195968215425053,4
21,-468.0,False,4.262481951635153,0.1680611002654333,1.0169935126444363,2.0126190564990205,0.6809305629548557,175.88107207537996,4.862505854508247,0.32997095443240476,1
22,-498.0,False,0.49879350189254656,0.4717793194726843,0.1952674962352816,0.15708070450751177,1.9661250896908133,433.4841883539634,3.7537919548042504,0.5779383145967314,4
23,550.0,True,4.337203121693757,0.44228533119666574,0.8488551133073785,1.1203501827403768,0.8383650607811238,433.25155193717,1.4314716483601142,0.9682625717632021,3
24,-500.0,False,2.0794653200933473,0.16775512018461364,1.3199526481076007,4.572438137447824,3.2940700526090936,293.87814683562885,2.236433595297165,1.6668940347067955,4
25,539.0,True,0.7604124485836705,0.10888549875930337,0.8374668326867141,3.654599190919062,4.1155394171141895,249.29632633245802,1.6102602264955435,1.2059582962461117,2
26,-556.0,False,1.3902753909357457,0.009246714416729918,0.7725698795557066,0.4503257635059926,0.32637715878226226,98.44212804226993,4.4391736798194135,1.0494075907354041,4
27,546.0,True,0.5971855931510511,0.3371463186393306,0.3177159849244515,4.086321203699647,2.151744209205568,397.2710712340764,3.719789505664429,1.3004861303529671,1
28,-452.0,False,2.1294820530821323,0.08320074216856821,1.9902891000238232,2.8141492404229584,3.1983612245500477,468.04055787069217,4.3336214858819835,1.9670327934709808,1
29,524.0,True,1.9943090442426226,0.4615542521548498,0.2913576032083438,3.2581141619398064,1.90660244361941,62.927312244699664,0.6537715936985233,0.8856829147641143,3
30,-492.0,False,4.998316539710423,0.4012219097620251,0.10004140331236178,0.3001868856490608,1.36264809942803,130.74300401684297,2.157317748482104,1.115027456835001,4
31,534.0,True,0.09192471403395297,0.05603713597552018,0.2950843993224599,2.1303609419876763,3.1406032742658025,113.40963375485063,1.597874345835197,1.794953833113702,4
32,-492.0,False,3.6218189540029044,0.04005056977296334,0.8699269674264976,1.6785259912845922,3.9858779966285613,136.02317118292245,3.2369492634241404,0.7889094799386389,4
